incident_id,timestamp,door_id,country_id,door_type,usage_scenario,installation_environment,customer_type,context_criticality_id,alert_type_id
INC-P-ES-000003-155,2025-01-02 00:37:01,P-ES-000003,ES,ECOline Pedestrian,low,Office,B2B,CC01,AT01
INC-P-ES-000003-283,2025-01-03 18:55:20,P-ES-000003,ES,ECOline Pedestrian,low,Office,B2B,CC01,AT01
INC-P-ES-000004-202,2025-01-02 00:06:28,P-ES-000004,ES,ECOline Pedestrian,low,Office,B2B,CC01,AT03
INC-P-ES-000005-81,2025-01-01 18:28:38,P-ES-000005,ES,ECOline Pedestrian,low,Office,B2B,CC01,AT02
INC-P-ES-000007-199,2025-01-01 10:24:41,P-ES-000007,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-ES-000007-215,2025-01-01 09:38:05,P-ES-000007,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-ES-000007-660,2025-01-01 07:08:29,P-ES-000007,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT01
INC-P-ES-000007-713,2025-01-01 11:33:13,P-ES-000007,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT01
INC-P-ES-000007-768,2025-01-01 05:00:19,P-ES-000007,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT09
INC-P-ES-000007-1265,2025-01-02 14:09:28,P-ES-000007,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT01
INC-P-ES-000008-2,2025-01-01 05:53:02,P-ES-000008,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT01
INC-P-ES-000008-654,2025-01-01 02:38:50,P-ES-000008,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT01
INC-P-ES-000008-2311,2025-01-03 23:20:06,P-ES-000008,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
