door_id,last_maintenance_date,maintenance_type,number_of_past_failures,days_since_last_failure,days_to_next_failure,failed_next_30_days
P-ES-000001,2024-12-11,Inspection,0,569,1.2372057098765459,
P-ES-000002,2024-11-06,Preventive,0,715,1.0255452932098776,
P-ES-000003,2024-07-10,Inspection,3,0,1.0063320216049398,
P-ES-000004,2024-09-13,Inspection,0,1,1.8005703703703755,
P-ES-000005,2024-07-18,Inspection,2,2,1.1551791666666649,
P-ES-000006,2024-08-23,Inspection,0,293,1.2320778549382716,
P-ES-000007,2024-10-28,Inspection,3,1,0.46137542438271645,
P-ES-000008,2024-08-22,Preventive,2,0,0.5805238811728396,
P-ES-000009,2024-08-10,Preventive,1,1,0.5990021990740745,
P-ES-000010,2024-11-28,Preventive,2,0,0.4818157021604939,
P-ES-000011,2024-07-16,Preventive,1,1,0.7397990354938262,
P-ES-000012,2024-12-22,Preventive,3,0,0.4137375385802477,
P-ES-000013,2024-09-21,Preventive,1,0,0.37605146604938366,
I-ES-000014,2024-09-07,Inspection,1,1,0.7120060570987656,
I-ES-000015,2024-11-20,Preventive,0,745,0.8315949459876544,
I-ES-000016,2024-07-21,Inspection,0,0,1.136441396604939,
I-ES-000017,2024-11-30,Inspection,1,2,0.6275021990740735,
I-ES-000018,2024-11-02,Preventive,0,223,0.7059536265432094,
I-ES-000019,2024-11-22,Inspection,1,168,0.9643187500000003,
I-ES-000020,2024-11-10,Inspection,2,889,1.0338540123456792,
I-ES-000021,2024-11-26,Inspection,2,0,0.6896336805555563,
I-ES-000022,2024-12-08,Preventive,0,0,0.40234016203703715,
I-ES-000023,2024-10-04,Preventive,3,0,0.45079837962962976,
I-ES-000024,2024-12-26,Preventive,3,0,0.5249732253086423,
I-ES-000025,2024-09-25,Corrective,5,0,0.6156522376543216,
G-ES-000026,2024-09-03,Inspection,0,325,1.3548932484567933,
G-ES-000027,2024-09-08,Preventive,0,87,1.3822831790123502,
G-ES-000028,2024-08-02,Inspection,0,356,1.3548932484567933,
G-ES-000029,2024-08-27,Preventive,2,342,1.2342788966049418,
G-ES-000030,2024-12-13,Inspection,0,226,1.3548932484567933,
G-ES-000031,2024-05-26,Inspection,0,763,1.3548932484567933,
G-ES-000032,2024-10-31,Preventive,0,828,1.3822831790123502,
G-ES-000033,2024-06-11,Inspection,0,627,1.3548932484567933,
G-ES-000034,2024-07-09,Inspection,1,793,1.320872800925929,
G-ES-000035,2024-06-28,Preventive,1,569,1.3498302469135843,
G-ES-000036,2024-08-13,Inspection,0,163,1.3548932484567933,
G-ES-000037,2024-07-26,Inspection,0,0,1.3192040509259284,
P-FR-000038,2024-09-19,Preventive,0,2,1.0111241898148149,
P-FR-000039,2024-09-20,Preventive,1,0,0.7767879243827163,
P-FR-000040,2024-12-12,Preventive,0,828,1.1029876157407423,
P-FR-000041,2024-06-10,Inspection,1,2,1.0523260030864192,
P-FR-000042,2024-11-20,Preventive,0,0,0.7935290895061727,
P-FR-000043,2024-08-26,Preventive,2,0,0.4320009645061728,
P-FR-000044,2024-09-05,Preventive,1,0,0.6822733024691352,
P-FR-000045,2024-12-21,Inspection,1,1,0.6342968364197532,
P-FR-000046,2024-12-15,Major Repair,4,0,0.3238069444444451,
P-FR-000047,2024-08-29,Preventive,3,0,0.5009863811728394,
P-FR-000048,2024-10-16,Corrective,4,0,0.3965056712962967,
P-FR-000049,2024-09-14,Major Repair,4,0,0.39887986111111223,
I-FR-000050,2024-07-31,Preventive,0,0,0.7667895061728387,
I-FR-000051,2024-08-21,Preventive,0,0,0.867944444444445,
I-FR-000052,2024-10-22,Inspection,1,444,1.0281884645061734,
I-FR-000053,2024-08-14,Preventive,1,0,0.5210017361111116,
I-FR-000054,2024-08-05,Major Repair,4,493,0.6793833719135819,
I-FR-000055,2024-09-20,Inspection,0,0,0.36990925925925944,
I-FR-000056,2024-07-29,Inspection,0,855,0.9023686342592595,
I-FR-000057,2024-10-25,Inspection,1,0,0.5537115740740742,
I-FR-000058,2024-10-23,Corrective,4,0,0.3417411651234567,
I-FR-000059,2024-12-24,Preventive,2,0,0.46823479938271667,
I-FR-000060,2024-12-13,Preventive,3,1,0.5469789351851855,
G-FR-000061,2024-05-27,Preventive,0,187,1.3822831790123502,
G-FR-000062,2024-06-18,Preventive,0,796,1.3822831790123502,
G-FR-000063,2024-08-07,Preventive,2,252,1.2342788966049418,
G-FR-000064,2024-10-22,Preventive,0,730,1.3822831790123502,
G-FR-000065,2024-06-26,Preventive,0,235,1.3822831790123502,
G-FR-000066,2024-12-06,Preventive,2,492,1.2342788966049418,
G-FR-000067,2024-07-03,Inspection,0,456,1.3548932484567933,
G-FR-000068,2024-12-22,Inspection,1,633,1.320872800925929,
G-FR-000069,2024-12-17,Inspection,2,549,1.2255496913580268,
G-FR-000070,2024-06-30,Preventive,1,421,1.3498302469135843,
G-FR-000071,2024-11-18,Preventive,3,0,1.2673028163580269,
P-DE-000072,2024-10-26,Inspection,2,0,0.8464102237654333,
P-DE-000073,2024-09-10,Preventive,2,2,0.6793812114197535,
P-DE-000074,2024-08-07,Preventive,1,414,1.1714443287037064,
P-DE-000075,2024-10-17,Preventive,1,0,0.7996897376543225,
P-DE-000076,2024-11-21,Preventive,1,729,1.007747569444445,
P-DE-000077,2024-08-05,Inspection,3,0,0.5607481481481474,
P-DE-000078,2024-09-17,Preventive,2,0,0.6368594907407403,
P-DE-000079,2024-08-20,Inspection,3,0,0.665538657407408,
P-DE-000080,2024-11-09,Inspection,3,0,0.451274189814815,
P-DE-000081,2024-10-05,Inspection,2,2,0.636313888888889,
P-DE-000082,2024-08-03,Inspection,2,0,0.2955331790123462,
