incident_id,door_id,timestamp,days_to_next_failure,door_type,usage_scenario,installation_environment,motor_temp_mean,motor_temp_max,motor_torque_mean,motor_torque_max,emergency_stops_count,photocell_blocks_count,maintenance_type,number_of_past_failures
INC-G-AU-000352-114,G-AU-000352,2025-01-03 08:43:41,,ECOline Home,moderate,Community,30.210309278350515,39,1.4951752577319588,2.51,0,0,Inspection,1
INC-G-BR-000487-127,G-BR-000487,2025-01-03 20:15:18,,ECOline Home,moderate,Community,30.70182555780933,39,1.5021906693711968,2.5,0,0,Inspection,2
INC-G-CL-000496-14,G-CL-000496,2025-01-01 14:06:07,,ECOline Home,moderate,Community,29.662420382165607,39,1.469936305732484,2.17,0,0,Inspection,2
INC-G-CN-000309-24,G-CN-000309,2025-01-03 21:57:14,,ECOline Home,low,Domestic,30.048,40,1.4710399999999997,2.4,0,0,Preventive,2
INC-G-CN-000316-84,G-CN-000316,2025-01-02 21:19:38,,ECOline Home,moderate,Community,30.542056074766354,39,1.490841121495327,2.24,0,0,Inspection,1
INC-G-DE-000106-105,G-DE-000106,2025-01-02 00:53:22,,ECOline Home,moderate,Community,30.0072202166065,39,1.5013357400722023,2.61,0,0,Inspection,1
INC-G-ES-000037-139,G-ES-000037,2025-01-03 12:50:00,,ECOline Home,moderate,Community,30.765714285714285,39,1.4899428571428572,2.08,0,0,Inspection,0
INC-G-FR-000071-142,G-FR-000071,2025-01-03 13:32:23,,ECOline Home,moderate,Community,30.251546391752576,39,1.4997938144329894,2.15,0,0,Preventive,3
INC-G-IN-000251-35,G-IN-000251,2025-01-03 00:10:16,,ECOline Home,low,Domestic,29.97938144329897,39,1.5022680412371134,2.34,0,0,Preventive,3
INC-G-IT-000134-17,G-IT-000134,2025-01-02 07:34:06,,ECOline Home,low,Domestic,30.37704918032787,39,1.5072131147540984,2.27,0,0,Preventive,0
INC-G-IT-000138-65,G-IT-000138,2025-01-02 06:10:12,,ECOline Home,moderate,Community,30.921397379912662,39,1.530524017467249,2.0,0,0,Preventive,0
INC-G-IT-000139-51,G-IT-000139,2025-01-02 00:49:29,,ECOline Home,moderate,Community,30.497041420118343,39,1.5114792899408285,2.59,0,0,Preventive,2
INC-G-JP-000340-12,G-JP-000340,2025-01-01 23:39:17,,ECOline Home,low,Domestic,29.571428571428573,39,1.4948979591836735,2.38,0,0,Preventive,3
INC-G-MX-000448-4,G-MX-000448,2025-01-01 19:36:00,,ECOline Home,low,Domestic,29.88,39,1.546,2.08,0,0,Inspection,2
INC-G-MX-000452-14,G-MX-000452,2025-01-02 00:57:16,,ECOline Home,low,Domestic,30.73170731707317,39,1.5241463414634147,2.6,0,0,Preventive,1
INC-G-MX-000453-27,G-MX-000453,2025-01-03 02:33:06,0.6475115740740741,ECOline Home,low,Domestic,30.55056179775281,39,1.4876404494382023,2.5,0,0,Preventive,2
INC-G-MX-000453-24,G-MX-000453,2025-01-03 18:05:31,,ECOline Home,low,Domestic,32.13513513513514,42,1.5394594594594597,2.56,0,1,Preventive,2
INC-G-MX-000457-33,G-MX-000457,2025-01-01 01:54:24,,ECOline Home,moderate,Community,30.0,39,1.641111111111111,2.48,0,0,Preventive,0
INC-G-PL-000190-41,G-PL-000190,2025-01-01 06:35:03,,ECOline Home,moderate,Community,29.884057971014492,39,1.57,2.17,0,0,Preventive,1
INC-G-UK-000164-19,G-UK-000164,2025-01-02 06:33:05,,ECOline Home,low,Domestic,30.013698630136986,39,1.5076712328767123,1.99,0,0,Preventive,1
INC-G-US-000402-24,G-US-000402,2025-01-02 21:25:05,,ECOline Home,low,Domestic,30.322580645161292,39,1.4652688172043005,2.0,0,0,Inspection,1
INC-G-US-000414-73,G-US-000414,2025-01-02 05:15:51,,ECOline Home,moderate,Community,30.538775510204083,39,1.5107755102040816,2.0,0,0,Inspection,2
INC-I-AU-000347-393,I-AU-000347,2025-01-02 09:34:05,0.036180555555555556,ROLLfast Industrial 300,moderate,Standard Dock,47.1339590443686,59,18.942295221843004,26.11,0,0,Preventive,1
INC-I-AU-000347-238,I-AU-000347,2025-01-02 10:26:11,,ROLLfast Industrial 300,moderate,Standard Dock,47.0,59,19.730666666666668,27.88,0,0,Preventive,1
INC-I-AU-000348-476,I-AU-000348,2025-01-01 07:49:07,0.2940162037037037,ROLLfast Industrial 300,intensive,High Speed Door,46.715058611361584,61,18.89647430117223,22.98,0,0,Preventive,1
INC-I-AU-000348-707,I-AU-000348,2025-01-01 14:52:30,0.12309027777777778,ROLLfast Industrial 300,intensive,High Speed Door,46.969298245614034,64,18.992774122807013,23.0,0,0,Preventive,1
INC-I-AU-000348-750,I-AU-000348,2025-01-01 17:49:45,0.01037037037037037,ROLLfast Industrial 300,intensive,High Speed Door,46.916666666666664,63,19.120922619047622,26.03,0,0,Preventive,1
INC-I-AU-000348-316,I-AU-000348,2025-01-01 18:04:41,0.30755787037037036,ROLLfast Industrial 300,intensive,High Speed Door,47.49122807017544,61,19.84140350877193,25.63,0,0,Preventive,1
INC-I-AU-000348-842,I-AU-000348,2025-01-02 01:27:34,1.3894097222222221,ROLLfast Industrial 300,intensive,High Speed Door,47.17213114754098,64,18.98064549180328,27.71,0,0,Preventive,1
INC-I-AU-000348-2156,I-AU-000348,2025-01-03 10:48:19,0.2222800925925926,ROLLfast Industrial 300,intensive,High Speed Door,46.91790708164186,64,18.944433919711322,26.72,0,0,Preventive,1
INC-I-AU-000348-1707,I-AU-000348,2025-01-03 16:08:24,,ROLLfast Industrial 300,intensive,High Speed Door,47.39792899408284,63,18.946849112426037,27.94,0,0,Preventive,1
INC-I-BR-000467-119,I-BR-000467,2025-01-01 00:21:09,1.2071875,ROLLfast Industrial 300,moderate,Standard Dock,49.84615384615385,59,19.110000000000003,23.46,0,0,Preventive,2
INC-I-BR-000467-213,I-BR-000467,2025-01-02 05:19:30,1.3632870370370371,ROLLfast Industrial 300,moderate,Standard Dock,46.918347742555234,62,18.922929875120076,26.84,0,0,Preventive,2
INC-I-BR-000467-531,I-BR-000467,2025-01-03 14:02:38,,ROLLfast Industrial 300,moderate,Standard Dock,47.25380228136882,59,19.058403041825095,26.06,0,0,Preventive,2
INC-I-BR-000468-318,I-BR-000468,2025-01-02 16:07:54,,ROLLfast Industrial 300,moderate,Standard Dock,47.028824833702885,59,18.99073170731707,23.0,0,0,Inspection,2
INC-I-BR-000469-71,I-BR-000469,2025-01-01 12:14:22,,ROLLfast Industrial 300,moderate,Standard Dock,46.83547557840617,59,19.14920308483291,27.38,0,0,Preventive,1
INC-I-BR-000470-283,I-BR-000470,2025-01-02 21:57:19,,ROLLfast Industrial 300,moderate,Standard Dock,47.327953518398964,59,18.966236281471918,26.96,0,0,Preventive,0
INC-I-BR-000471-143,I-BR-000471,2025-01-01 18:01:27,,ROLLfast Industrial 300,moderate,Standard Dock,46.83132530120482,59,19.142013769363164,25.17,0,0,Preventive,0
INC-I-BR-000473-39,I-BR-000473,2025-01-01 05:22:33,2.3628819444444447,ROLLfast Industrial 300,moderate,Standard Dock,46.26728110599078,59,19.185115207373272,23.0,0,0,Inspection,1
INC-I-BR-000473-434,I-BR-000473,2025-01-03 14:05:06,,ROLLfast Industrial 300,moderate,Standard Dock,47.14589155953046,60,19.020212409167133,27.3,0,0,Inspection,1
INC-I-BR-000474-562,I-BR-000474,2025-01-01 03:05:20,2.2865625,ROLLfast Industrial 300,intensive,High Speed Door,46.5470737913486,59,18.973460559796436,22.99,0,0,Major Repair,7
INC-I-BR-000474-1677,I-BR-000474,2025-01-03 09:57:59,0.0893287037037037,ROLLfast Industrial 300,intensive,High Speed Door,46.99151193633952,65,18.986535809018566,26.27,0,0,Major Repair,7
INC-I-BR-000474-1724,I-BR-000474,2025-01-03 12:06:37,,ROLLfast Industrial 300,intensive,High Speed Door,47.78214285714286,60,19.000249999999998,26.49,0,0,Major Repair,7
INC-I-BR-000475-934,I-BR-000475,2025-01-02 00:02:30,0.16774305555555555,ROLLfast Industrial 300,intensive,High Speed Door,47.03302689819544,64,18.98662921348315,22.99,0,0,Corrective,4
INC-I-BR-000475-941,I-BR-000475,2025-01-02 04:04:03,0.30885416666666665,ROLLfast Industrial 300,intensive,High Speed Door,47.10034013605442,61,18.91505102040816,24.53,0,0,Corrective,4
INC-I-BR-000475-938,I-BR-000475,2025-01-02 11:28:48,0.06783564814814814,ROLLfast Industrial 300,intensive,High Speed Door,47.22863247863248,63,19.020373931623933,24.3,0,0,Corrective,4
INC-I-BR-000475-747,I-BR-000475,2025-01-02 13:06:29,0.6442361111111111,ROLLfast Industrial 300,intensive,High Speed Door,48.234042553191486,64,18.95218085106383,25.91,0,0,Corrective,4
INC-I-BR-000475-1970,I-BR-000475,2025-01-03 04:34:11,0.42637731481481483,ROLLfast Industrial 300,intensive,High Speed Door,47.063067367415194,59,18.96643573817487,27.81,0,0,Corrective,4
INC-I-BR-000475-1988,I-BR-000475,2025-01-03 14:48:10,0.24746527777777777,ROLLfast Industrial 300,intensive,High Speed Door,46.9611801242236,64,19.088051242236023,27.51,0,0,Corrective,4
INC-I-BR-000475-1953,I-BR-000475,2025-01-03 20:44:31,0.030266203703703705,ROLLfast Industrial 300,intensive,High Speed Door,47.06602641056423,63,19.013169267707084,25.59,0,0,Corrective,4
INC-I-BR-000475-1540,I-BR-000475,2025-01-03 21:28:06,,ROLLfast Industrial 300,intensive,High Speed Door,48.52,63,19.2873,27.21,0,0,Corrective,4
INC-I-BR-000476-64,I-BR-000476,2025-01-01 03:50:20,0.5105902777777778,ROLLfast Industrial 300,intensive,High Speed Door,47.50628366247756,59,18.833285457809698,26.25,0,0,Major Repair,6
INC-I-BR-000476-222,I-BR-000476,2025-01-01 16:05:35,1.1113773148148147,ROLLfast Industrial 300,intensive,High Speed Door,47.12066974595843,64,19.021275981524248,27.31,0,0,Major Repair,6
INC-I-BR-000476-1328,I-BR-000476,2025-01-02 18:45:58,1.183263888888889,ROLLfast Industrial 300,intensive,High Speed Door,46.807411414660535,60,18.960348931566134,27.65,0,0,Major Repair,6
INC-I-BR-000476-1881,I-BR-000476,2025-01-03 23:09:52,,ROLLfast Industrial 300,intensive,High Speed Door,47.012266802964476,63,19.00276003066701,27.34,0,0,Major Repair,6
INC-I-BR-000477-1533,I-BR-000477,2025-01-02 01:44:16,0.21890046296296295,ROLLfast Industrial 300,intensive,High Speed Door,47.069550466497034,59,19.007763641504102,23.0,0,0,Corrective,7
INC-I-BR-000477-934,I-BR-000477,2025-01-02 06:59:29,0.9530787037037037,ROLLfast Industrial 300,intensive,High Speed Door,47.16875871687587,61,19.170669456066946,28.0,0,0,Corrective,7
INC-I-BR-000477-1721,I-BR-000477,2025-01-03 05:51:55,0.34958333333333336,ROLLfast Industrial 300,intensive,High Speed Door,46.90962479608483,59,19.045386623164763,27.8,0,0,Corrective,7
INC-I-BR-000477-1820,I-BR-000477,2025-01-03 14:15:19,,ROLLfast Industrial 300,intensive,High Speed Door,47.35109170305677,64,18.88261135371179,27.25,0,0,Corrective,7
INC-I-BR-000478-129,I-BR-000478,2025-01-01 05:38:30,1.305462962962963,ROLLfast Industrial 300,intensive,High Speed Door,46.9122085048011,59,18.992482853223596,22.99,0,0,Major Repair,4
INC-I-BR-000478-1490,I-BR-000478,2025-01-02 12:58:22,0.08134259259259259,ROLLfast Industrial 300,intensive,High Speed Door,47.12621832358674,61,18.978737816764134,26.12,0,0,Major Repair,4
INC-I-BR-000478-817,I-BR-000478,2025-01-02 14:55:30,0.09173611111111112,ROLLfast Industrial 300,intensive,High Speed Door,46.45090909090909,65,19.13072727272727,27.89,0,0,Major Repair,4
INC-I-BR-000478-1232,I-BR-000478,2025-01-02 17:07:36,,ROLLfast Industrial 300,intensive,High Speed Door,47.592592592592595,65,19.01218518518519,27.18,0,0,Major Repair,4
INC-I-CA-000423-199,I-CA-000423,2025-01-01 06:31:08,,ROLLfast Industrial 300,moderate,Standard Dock,47.61081081081081,59,18.946702702702705,25.33,0,0,Preventive,2
INC-I-CA-000425-342,I-CA-000425,2025-01-02 04:35:41,,ROLLfast Industrial 300,moderate,Standard Dock,46.89820923656927,59,18.863845428840715,25.29,0,0,Inspection,1
INC-I-CA-000426-375,I-CA-000426,2025-01-01 14:34:27,0.4999537037037037,ROLLfast Industrial 300,intensive,High Speed Door,47.12225201072386,59,19.000670241286862,26.06,0,0,Inspection,1
INC-I-CA-000426-1339,I-CA-000426,2025-01-02 02:34:23,0.3811689814814815,ROLLfast Industrial 300,intensive,High Speed Door,47.13943217665615,63,19.068334384858044,26.38,0,0,Inspection,1
INC-I-CA-000426-1272,I-CA-000426,2025-01-02 11:43:16,1.429386574074074,ROLLfast Industrial 300,intensive,High Speed Door,46.82255244755245,65,19.05493881118881,27.5,0,0,Inspection,1
INC-I-CA-000426-2340,I-CA-000426,2025-01-03 22:01:35,,ROLLfast Industrial 300,intensive,High Speed Door,47.083609820836095,64,18.949254589692547,26.59,0,0,Inspection,1
INC-I-CA-000427-459,I-CA-000427,2025-01-01 22:31:45,1.2975347222222222,ROLLfast Industrial 300,intensive,High Speed Door,46.98301559792028,59,19.06105719237435,23.0,0,0,Corrective,6
INC-I-CA-000427-1839,I-CA-000427,2025-01-03 05:40:12,0.046886574074074074,ROLLfast Industrial 300,intensive,High Speed Door,47.072762087123024,65,19.0104188606989,27.0,0,0,Corrective,6
INC-I-CA-000427-1710,I-CA-000427,2025-01-03 06:47:43,0.6014583333333333,ROLLfast Industrial 300,intensive,High Speed Door,46.75690607734806,59,19.295690607734805,27.15,0,0,Corrective,6
INC-I-CA-000427-1837,I-CA-000427,2025-01-03 21:13:49,,ROLLfast Industrial 300,intensive,High Speed Door,46.796636085626915,63,18.902451580020387,27.07,0,0,Corrective,6
INC-I-CL-000491-154,I-CL-000491,2025-01-01 21:01:36,,ROLLfast Industrial 300,moderate,Standard Dock,46.972434915773356,59,18.9314854517611,22.98,0,0,Inspection,0
INC-I-CL-000492-143,I-CL-000492,2025-01-01 00:36:53,,ROLLfast Industrial 300,moderate,Standard Dock,47.0,59,19.168823529411764,24.11,0,0,Preventive,0
INC-I-CL-000493-85,I-CL-000493,2025-01-01 04:21:08,0.8817361111111112,ROLLfast Industrial 300,intensive,High Speed Door,46.81437125748503,59,18.876666666666665,23.06,0,0,Major Repair,4
INC-I-CL-000493-1285,I-CL-000493,2025-01-02 01:30:50,0.8117013888888889,ROLLfast Industrial 300,intensive,High Speed Door,46.84376056814339,63,18.940324653364893,27.2,0,0,Major Repair,4
INC-I-CL-000493-955,I-CL-000493,2025-01-02 20:59:41,0.31527777777777777,ROLLfast Industrial 300,intensive,High Speed Door,47.21504112808461,65,19.078664316490404,25.93,0,0,Major Repair,4
INC-I-CL-000493-1723,I-CL-000493,2025-01-03 04:33:41,0.3614351851851852,ROLLfast Industrial 300,intensive,High Speed Door,47.04437564499484,64,19.00098039215686,23.3,0,0,Major Repair,4
INC-I-CL-000493-1762,I-CL-000493,2025-01-03 13:14:09,,ROLLfast Industrial 300,intensive,High Speed Door,47.147757255936675,65,18.89846086191733,27.13,0,0,Major Repair,4
INC-I-CN-000280-93,I-CN-000280,2025-01-01 23:11:40,0.6261921296296297,ROLLfast Industrial 300,moderate,Standard Dock,46.78237650200267,61,18.897850467289718,23.62,0,0,Preventive,3
INC-I-CN-000280-322,I-CN-000280,2025-01-02 14:13:23,,ROLLfast Industrial 300,moderate,Standard Dock,46.46319569120287,64,19.139587073608617,26.22,0,0,Preventive,3
INC-I-CN-000281-248,I-CN-000281,2025-01-02 02:44:40,,ROLLfast Industrial 300,moderate,Standard Dock,46.85980284775466,59,18.99592552026287,27.12,0,0,Inspection,1
INC-I-CN-000284-96,I-CN-000284,2025-01-01 05:20:31,0.3237962962962963,ROLLfast Industrial 300,moderate,Standard Dock,46.08839779005525,59,19.139502762430936,24.84,0,0,Preventive,1
INC-I-CN-000284-7,I-CN-000284,2025-01-01 13:06:47,,ROLLfast Industrial 300,moderate,Standard Dock,47.09166666666667,65,18.944291666666665,27.21,0,0,Preventive,1
INC-I-CN-000285-485,I-CN-000285,2025-01-03 06:08:54,,ROLLfast Industrial 300,moderate,Standard Dock,46.85359951603146,59,19.05513611615245,23.0,0,0,Major Repair,4
INC-I-CN-000286-67,I-CN-000286,2025-01-01 15:51:35,0.1812962962962963,ROLLfast Industrial 300,moderate,Standard Dock,46.96633663366337,59,19.11574257425743,26.93,0,0,Major Repair,7
INC-I-CN-000286-33,I-CN-000286,2025-01-01 20:12:39,0.15738425925925925,ROLLfast Industrial 300,moderate,Standard Dock,47.09285714285714,59,19.400357142857143,25.97,0,0,Major Repair,7
INC-I-CN-000286-39,I-CN-000286,2025-01-01 23:59:17,0.6951967592592593,ROLLfast Industrial 300,moderate,Standard Dock,47.214285714285715,62,19.420089285714283,27.85,0,0,Major Repair,7
INC-I-CN-000286-371,I-CN-000286,2025-01-02 16:40:22,0.833587962962963,ROLLfast Industrial 300,moderate,Standard Dock,46.80324543610548,61,19.215131845841785,26.95,0,0,Major Repair,7
INC-I-CN-000286-576,I-CN-000286,2025-01-03 12:40:44,,ROLLfast Industrial 300,moderate,Standard Dock,47.23924731182796,65,19.16239247311828,27.49,0,0,Major Repair,7
INC-I-CN-000287-194,I-CN-000287,2025-01-01 16:54:25,0.7803125,ROLLfast Industrial 300,moderate,Standard Dock,46.86280991735537,59,19.000280991735533,22.95,0,0,Inspection,1
INC-I-CN-000287-306,I-CN-000287,2025-01-02 11:38:04,,ROLLfast Industrial 300,moderate,Standard Dock,47.17927631578947,64,19.161809210526318,26.43,0,0,Inspection,1
INC-I-CN-000288-497,I-CN-000288,2025-01-03 10:27:00,,ROLLfast Industrial 300,moderate,Standard Dock,47.207778369738946,59,19.09660095897709,27.7,0,0,Preventive,1
INC-I-CN-000289-440,I-CN-000289,2025-01-03 02:49:59,0.17043981481481482,ROLLfast Industrial 300,moderate,Standard Dock,47.39809096013476,59,19.022133632790567,26.93,0,0,Inspection,2
INC-I-CN-000289-501,I-CN-000289,2025-01-03 06:55:25,0.6213425925925926,ROLLfast Industrial 300,moderate,Standard Dock,46.47142857142857,59,18.957142857142856,27.96,0,0,Inspection,2
INC-I-CN-000289-622,I-CN-000289,2025-01-03 21:50:09,,ROLLfast Industrial 300,moderate,Standard Dock,47.174442190669374,63,19.04967545638945,27.43,0,0,Inspection,2
INC-I-CN-000291-169,I-CN-000291,2025-01-01 02:24:11,0.4864583333333333,ROLLfast Industrial 300,moderate,Standard Dock,48.405797101449274,59,18.887971014492756,26.27,0,0,Preventive,0
INC-I-CN-000291-61,I-CN-000291,2025-01-01 14:04:41,0.6597106481481482,ROLLfast Industrial 300,moderate,Standard Dock,47.42716049382716,64,19.02138271604938,24.76,0,0,Preventive,0
INC-I-CN-000291-334,I-CN-000291,2025-01-02 05:54:40,,ROLLfast Industrial 300,moderate,Standard Dock,46.951013513513516,63,19.033918918918918,27.84,0,0,Preventive,0
INC-I-CN-000293-546,I-CN-000293,2025-01-03 19:22:43,,ROLLfast Industrial 300,moderate,Standard Dock,47.11936832326985,59,19.068369716674407,23.0,0,0,Preventive,2
